,Div,Date,Time,HomeTeam,AwayTeam,FTR,HTS,HTST,HTW,HTD,HTL,HTF,HTY,HTR,HTG,ATS,ATST,ATW,ATD,ATL,ATF,ATY,ATR,ATG,HATT,HMIL,HDEF,AATT,AMIL,ADEF,HB,AB
0,F1,21/08/2020,18:00,Bordeaux,Nantes,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,73,75,75,70,74,75,50.0,75.0
1,F1,22/08/2020,16:00,Dijon,Angers,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,72,71,70,74,74,73,50.0,45.0
2,F1,22/08/2020,20:00,Lille,Rennes,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,77,77,75,75,77,76,147.0,105.0
3,F1,23/08/2020,12:00,Monaco,Reims,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,80,76,75,71,72,74,215.0,70.0
4,F1,23/08/2020,14:00,Lorient,Strasbourg,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,70,70,71,74,74,74,45.0,50.0
5,F1,23/08/2020,14:00,Nimes,Brest,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,71,72,72,71,71,72,40.0,35.0
6,F1,23/08/2020,16:00,Nice,Lens,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,76,74,74,71,73,70,80.0,46.0
7,F1,28/08/2020,20:00,Lyon,Dijon,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,9.0,1.0,0,0,1,15.0,0.0,0.0,0.0,78,77,77,72,71,70,285.0,50.0
8,F1,29/08/2020,16:00,Rennes,Montpellier,2.0,16.0,3.0,0,1,0,16.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,75,77,76,77,75,74,105.0,54.5
9,F1,29/08/2020,20:00,Strasbourg,Nice,0.0,7.0,1.0,0,1,1,10.0,2.0,0.0,1.0,4.0,2.0,1,0,0,17.0,2.0,0.0,2.0,74,74,74,76,74,74,50.0,80.0
10,F1,30/08/2020,12:00,Reims,Lille,0.0,9.0,3.0,0,1,0,14.0,3.0,0.0,2.0,5.0,1.0,0,1,0,12.0,0.0,1.0,1.0,71,72,74,77,77,75,70.0,147.0
11,F1,30/08/2020,14:00,Angers,Bordeaux,0.0,12.0,4.0,1,1,0,8.0,0.0,0.0,1.0,5.0,1.0,0,1,0,10.0,2.0,1.0,0.0,74,74,73,73,75,75,45.0,50.0
12,F1,30/08/2020,14:00,Metz,Monaco,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,22.0,5.0,0,1,0,8.0,1.0,0.0,2.0,71,72,71,80,76,75,50.0,215.0
13,F1,30/08/2020,14:00,Nantes,Nimes,2.0,6.0,1.0,0,1,0,15.0,3.0,0.0,0.0,12.0,5.0,1,0,0,14.0,2.0,0.0,4.0,70,74,75,71,72,72,75.0,40.0
14,F1,30/08/2020,14:00,St Etienne,Lorient,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,10.0,7.0,1,0,0,17.0,3.0,0.0,3.0,76,72,73,70,70,71,95.0,45.0
15,F1,30/08/2020,20:00,Brest,Marseille,0.0,10.0,3.0,0,1,1,17.0,3.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,71,71,72,78,78,77,35.0,140.0
16,F1,10/09/2020,20:00,Lens,Paris SG,2.0,17.0,4.0,0,1,1,18.0,3.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,71,73,70,86,82,81,46.0,600.0
17,F1,11/09/2020,20:00,Bordeaux,Lyon,1.0,6.0,4.0,1,2,0,14.5,2.5,0.5,1.0,27.0,12.0,1,0,0,12.0,3.0,0.0,4.0,73,75,75,78,77,77,50.0,285.0
18,F1,12/09/2020,16:00,Montpellier,Nice,2.0,11.0,3.0,0,1,1,16.0,2.0,1.0,1.0,3.5,2.0,2,0,0,14.0,4.0,0.0,2.0,77,75,74,76,74,74,54.5,80.0
19,F1,12/09/2020,20:00,St Etienne,Strasbourg,2.0,13.0,5.0,1,0,0,14.0,2.0,0.0,2.0,6.5,0.5,0,0,2,12.0,2.0,0.0,0.5,76,72,73,74,74,74,95.0,50.0
20,F1,13/09/2020,12:00,Lille,Metz,2.0,7.5,2.0,1,2,0,11.5,0.5,0.5,1.0,14.0,4.0,0,0,1,14.0,0.0,0.0,0.0,77,77,75,71,72,71,147.0,50.0
21,F1,13/09/2020,14:00,Angers,Reims,2.0,12.0,3.0,1,1,1,10.0,0.5,0.0,0.5,6.5,1.5,0,1,1,17.0,3.5,0.0,1.0,74,74,73,71,72,74,45.0,70.0
22,F1,13/09/2020,14:00,Dijon,Brest,0.0,7.5,1.5,0,1,2,11.0,1.5,0.0,0.5,14.5,3.5,0,0,2,17.0,2.5,1.0,1.0,72,71,70,71,71,72,50.0,35.0
23,F1,13/09/2020,14:00,Lorient,Lens,0.0,8.0,4.0,1,1,1,20.0,2.0,0.0,1.5,12.0,3.5,1,0,1,19.5,2.5,0.0,1.0,70,70,71,71,73,70,45.0,46.0
24,F1,13/09/2020,14:00,Nimes,Rennes,0.0,14.5,7.0,1,1,1,11.5,2.0,0.0,2.5,16.0,5.0,1,1,0,17.0,2.0,1.5,1.5,71,72,72,75,77,76,40.0,105.0
25,F1,13/09/2020,16:00,Monaco,Nantes,2.0,12.5,3.5,1,2,0,14.0,3.0,0.5,1.5,7.0,3.0,1,1,0,15.5,3.0,1.0,1.0,80,76,75,70,74,75,215.0,75.0
26,F1,13/09/2020,20:00,Paris SG,Marseille,0.0,8.0,1.0,0,1,1,10.0,2.0,0.0,0.0,7.0,4.0,1,0,0,13.0,4.0,0.0,3.0,86,82,81,78,78,77,600.0,140.0
27,F1,15/09/2020,20:00,Montpellier,Lyon,2.0,15.5,8.0,1,1,1,16.5,1.0,0.5,2.0,23.5,7.5,1,1,0,15.5,3.0,0.0,2.0,77,75,74,78,77,77,54.5,285.0
28,F1,16/09/2020,20:00,Paris SG,Metz,2.0,11.0,2.5,0,1,2,13.5,4.0,1.5,0.0,9.5,2.5,0,0,2,14.0,2.0,0.0,0.0,86,82,81,71,72,71,600.0,50.0
29,F1,17/09/2020,20:00,Marseille,St Etienne,0.0,6.0,3.0,2,2,0,16.0,6.0,1.0,2.0,11.5,4.5,2,0,0,13.5,1.5,0.0,2.0,78,78,77,76,72,73,140.0,95.0
30,F1,18/09/2020,20:00,Lyon,Nimes,1.0,22.0,7.333333333333334,1,2,1,14.666666666666664,2.6666666666666665,0.3333333333333333,1.6666666666666663,15.333333333333336,7.666666666666668,1,0,2,13.333333333333336,2.0,0.0,2.333333333333333,78,77,77,71,72,72,285.0,40.0
31,F1,19/09/2020,16:00,Lens,Bordeaux,2.0,12.0,4.333333333333333,2,2,1,18.33333333333333,2.6666666666666665,0.3333333333333333,1.6666666666666663,5.666666666666668,2.666666666666667,1,2,0,13.666666666666664,2.333333333333333,0.3333333333333333,0.6666666666666666,71,73,70,73,75,75,46.0,50.0
32,F1,19/09/2020,20:00,Rennes,Monaco,2.0,14.0,5.333333333333334,2,2,0,15.666666666666664,3.333333333333333,0.6666666666666666,2.333333333333333,14.333333333333332,4.0,2,1,0,14.0,3.0,1.0,1.6666666666666663,75,77,76,80,76,75,105.0,215.0
33,F1,20/09/2020,12:00,Nice,Paris SG,0.0,5.333333333333333,1.6666666666666663,2,2,1,14.666666666666668,3.333333333333333,0.0,1.6666666666666663,14.0,4.333333333333333,1,0,2,11.666666666666664,3.6666666666666665,1.3333333333333333,0.3333333333333333,76,74,74,86,82,81,80.0,600.0
34,F1,20/09/2020,14:00,Brest,Lorient,2.0,16.0,4.0,1,2,2,16.666666666666668,1.6666666666666663,0.3333333333333333,1.3333333333333333,7.333333333333334,3.666666666666667,1,0,2,20.0,2.6666666666666665,0.0,1.6666666666666663,71,71,72,70,70,71,35.0,45.0
35,F1,20/09/2020,14:00,Metz,Reims,2.0,8.666666666666668,2.0,0,2,3,11.333333333333336,2.0,0.0,0.0,6.666666666666666,1.6666666666666663,0,1,2,15.333333333333336,3.0,1.0,0.6666666666666666,71,72,71,71,72,74,50.0,70.0
36,F1,20/09/2020,14:00,Montpellier,Angers,2.0,13.666666666666668,6.333333333333332,2,1,1,15.333333333333332,1.6666666666666663,0.6666666666666666,2.0,14.666666666666668,4.333333333333334,2,0,1,10.666666666666666,1.6666666666666663,0.3333333333333333,0.6666666666666666,77,75,74,74,74,73,54.5,45.0
37,F1,20/09/2020,14:00,Strasbourg,Dijon,2.0,9.0,2.666666666666667,0,2,3,14.333333333333332,2.333333333333333,0.0,0.3333333333333333,7.333333333333334,2.0,0,0,3,12.666666666666668,1.6666666666666663,0.3333333333333333,0.3333333333333333,74,74,74,72,71,70,50.0,50.0
38,F1,20/09/2020,16:00,Nantes,St Etienne,1.0,7.0,2.6666666666666665,1,2,1,13.999999999999998,2.333333333333333,0.6666666666666666,1.0,11.666666666666664,4.666666666666667,3,0,0,14.0,1.6666666666666663,0.0,2.0,70,74,75,76,72,73,75.0,95.0
39,F1,20/09/2020,20:00,Marseille,Lille,1.0,8.333333333333332,2.6666666666666665,2,2,1,15.0,4.666666666666667,0.6666666666666666,1.3333333333333333,10.333333333333332,3.333333333333333,2,1,0,11.666666666666664,1.6666666666666663,0.3333333333333333,1.0,78,78,77,77,77,75,140.0,147.0
40,F1,25/09/2020,20:00,Lille,Nantes,2.0,11.25,4.25,2,3,0,13.25,2.0,0.25,1.0,9.0,2.75,1,2,1,13.5,2.25,0.5,1.25,77,77,75,70,74,75,147.0,75.0
41,F1,26/09/2020,16:00,St Etienne,Rennes,0.0,10.25,4.5,3,2,0,14.75,1.75,0.0,2.0,14.0,4.75,3,1,0,14.5,2.75,1.25,2.25,76,72,73,75,77,76,95.0,105.0
42,F1,26/09/2020,20:00,Marseille,Metz,1.0,9.0,2.5,2,3,1,14.25,4.25,0.5,1.25,10.0,2.5,1,0,3,12.0,1.75,0.0,0.5,78,78,77,71,72,71,140.0,50.0
43,F1,27/09/2020,12:00,Bordeaux,Nice,1.0,6.0,2.75,1,4,1,14.0,3.0,0.5,0.75,7.5,2.5,2,0,2,13.25,2.75,0.0,1.25,73,75,75,76,74,74,50.0,80.0
44,F1,27/09/2020,14:00,Angers,Brest,2.0,14.5,4.0,2,2,2,9.25,2.0,0.25,0.75,15.5,4.5,2,0,2,17.5,1.75,1.0,1.75,74,74,73,71,71,72,45.0,35.0
45,F1,27/09/2020,14:00,Dijon,Montpellier,1.0,7.0,2.0,0,2,4,13.5,1.5,0.25,0.25,13.75,7.0,3,0,1,15.0,2.25,1.25,2.5,72,71,70,77,75,74,50.0,54.5
46,F1,27/09/2020,14:00,Monaco,Strasbourg,2.0,14.25,3.5,2,3,1,13.25,2.75,0.25,1.5,11.0,3.5,1,0,3,13.25,2.0,0.0,0.5,80,76,75,74,74,74,215.0,50.0
47,F1,27/09/2020,14:00,Nimes,Lens,1.0,14.0,6.5,1,2,2,13.0,2.0,0.0,1.75,13.75,4.5,3,0,1,17.5,3.25,1.0,1.75,71,72,72,71,73,70,40.0,46.0
48,F1,27/09/2020,16:00,Lorient,Lyon,1.0,7.75,3.75,1,2,3,18.25,2.25,0.0,1.75,20.5,6.25,1,2,1,15.5,2.75,1.0,1.25,70,70,71,78,77,77,45.0,285.0
49,F1,27/09/2020,20:00,Reims,Paris SG,0.0,7.5,2.25,0,3,3,13.25,3.25,0.5,0.75,14.0,4.75,2,0,2,11.0,3.25,1.0,1.0,71,72,74,86,82,81,70.0,600.0
50,F1,02/10/2020,20:00,Paris SG,Angers,2.0,15.4,5.199999999999998,3,3,2,10.8,3.0,0.8,1.2000000000000002,14.000000000000002,4.2,3,0,2,10.8,2.2,0.2,1.2000000000000002,86,82,81,74,74,73,600.0,45.0
51,F1,03/10/2020,16:00,Lens,St Etienne,2.0,14.0,4.8,3,3,1,17.2,3.2,0.2,1.6,9.4,4.4,3,1,1,14.0,1.6,0.0,1.6,71,73,70,76,72,73,46.0,95.0
52,F1,03/10/2020,20:00,Nice,Nantes,2.0,8.6,2.4,2,3,2,13.6,2.4000000000000004,0.0,1.0,9.6,3.4000000000000004,1,2,2,13.2,2.2,0.4,1.0,76,74,74,70,74,75,80.0,75.0
53,F1,04/10/2020,12:00,Montpellier,Nimes,0.0,13.8,6.6000000000000005,3,2,1,14.2,2.0,0.4,2.4,13.8,5.999999999999999,1,2,2,12.4,1.6,0.0,1.6,77,75,74,71,72,72,54.5,40.0
54,F1,04/10/2020,14:00,Bordeaux,Dijon,2.0,8.4,3.2,1,5,1,13.0,2.6,0.4,0.6000000000000001,8.600000000000001,2.8,0,1,4,13.8,2.0,0.2,0.6000000000000001,73,75,75,72,71,70,50.0,50.0
55,F1,04/10/2020,14:00,Brest,Monaco,2.0,15.2,4.8,2,3,3,18.2,1.7999999999999998,0.2,1.7999999999999998,13.599999999999998,3.8,3,1,1,12.799999999999995,2.8,1.4,1.7999999999999998,71,71,72,80,76,75,35.0,215.0
56,F1,04/10/2020,14:00,Metz,Lorient,2.0,10.8,2.6,1,3,3,11.8,1.8000000000000005,0.0,0.6000000000000001,7.0,3.4,1,1,3,18.4,2.2,0.0,1.6,71,72,71,70,70,71,50.0,45.0
57,F1,04/10/2020,14:00,Strasbourg,Lille,0.0,11.0,3.8,1,3,4,13.0,1.7999999999999998,0.0,0.8,11.4,4.2,3,2,0,13.8,1.6,0.2,1.2000000000000002,74,74,74,77,77,75,50.0,147.0
58,F1,04/10/2020,16:00,Rennes,Reims,1.0,13.2,5.0,4,3,0,14.000000000000002,2.4000000000000004,0.4,2.4000000000000004,7.6,2.4,0,1,4,12.8,3.0,2.0,0.6000000000000001,75,77,76,71,72,74,105.0,70.0
59,F1,04/10/2020,20:00,Lyon,Marseille,1.0,20.2,6.2,1,4,1,13.8,2.2,0.2,1.2,10.6,2.6,2,2,1,14.4,3.4000000000000004,2.0,1.2,78,77,77,78,78,77,285.0,140.0
60,F1,16/10/2020,18:00,Dijon,Rennes,1.0,8.0,2.5,0,4,5,13.833333333333336,2.1666666666666665,0.16666666666666666,0.5,14.0,4.666666666666667,4,2,0,13.666666666666664,2.6666666666666665,1.1666666666666667,2.333333333333333,72,71,70,75,77,76,50.0,105.0
61,F1,16/10/2020,20:00,Nimes,Paris SG,0.0,12.833333333333336,5.166666666666668,2,4,2,12.833333333333336,1.5,0.0,1.5,15.833333333333336,6.333333333333332,4,0,2,10.833333333333336,2.6666666666666665,0.6666666666666666,2.0,71,72,72,86,82,81,40.0,600.0
62,F1,17/10/2020,16:00,Reims,Lorient,0.0,7.833333333333332,2.6666666666666665,0,4,4,13.333333333333336,3.0,0.3333333333333333,0.8333333333333333,7.500000000000001,3.5,1,1,4,17.666666666666664,2.1666666666666665,0.0,1.5,71,72,74,70,70,71,70.0,45.0
63,F1,17/10/2020,20:00,Marseille,Bordeaux,2.0,9.499999999999998,2.333333333333333,2,5,1,13.666666666666664,3.0,0.5,1.1666666666666663,9.833333333333334,3.833333333333334,2,3,1,13.333333333333332,2.5,1.1666666666666667,1.0,78,78,77,73,75,75,140.0,50.0
64,F1,18/10/2020,12:00,Strasbourg,Lyon,0.0,11.500000000000002,3.666666666666667,1,3,5,12.666666666666664,1.6666666666666667,0.0,0.6666666666666666,20.83333333333333,5.666666666666668,1,4,1,13.833333333333332,2.0,1.0,1.1666666666666663,74,74,74,78,77,77,50.0,285.0
65,F1,18/10/2020,14:00,Angers,Metz,1.0,13.000000000000002,3.833333333333334,3,3,3,10.5,2.1666666666666665,0.16666666666666666,1.1666666666666667,11.666666666666668,3.5,2,1,3,11.5,1.6666666666666667,0.0,1.0,74,74,73,71,72,71,45.0,50.0
66,F1,18/10/2020,14:00,Monaco,Montpellier,1.0,14.833333333333336,3.5000000000000004,3,4,2,13.500000000000002,3.0,0.5,1.5,13.500000000000002,5.833333333333332,3,1,2,14.166666666666668,2.0,1.1666666666666667,2.0,80,76,75,77,75,74,215.0,54.5
67,F1,18/10/2020,14:00,Nantes,Brest,2.0,9.833333333333334,3.0,1,5,3,12.333333333333336,2.0,0.5,1.0,13.833333333333336,4.833333333333333,3,0,3,16.833333333333336,2.0,1.0,1.6666666666666663,70,74,75,71,71,72,75.0,35.0
68,F1,18/10/2020,16:00,St Etienne,Nice,0.0,8.166666666666666,3.833333333333333,3,3,2,13.333333333333336,1.5,0.3333333333333333,1.3333333333333333,10.166666666666666,3.1666666666666665,3,1,2,13.5,2.333333333333333,0.0,1.1666666666666663,76,72,73,76,74,74,95.0,80.0
69,F1,18/10/2020,20:00,Lille,Lens,2.0,11.5,4.5,4,4,0,13.166666666666664,1.5,0.16666666666666666,1.5,13.833333333333332,4.833333333333333,4,1,1,18.166666666666664,2.833333333333333,1.0,1.6666666666666663,77,77,75,71,73,70,147.0,46.0
70,F1,23/10/2020,20:00,Rennes,Angers,0.0,13.714285714285715,4.428571428571427,4,5,0,13.571428571428573,2.5714285714285707,0.2857142857142857,2.142857142857143,12.142857142857142,3.571428571428571,3,1,3,11.571428571428573,2.4285714285714293,0.14285714285714285,1.1428571428571428,75,77,76,74,74,73,105.0,45.0
71,F1,24/10/2020,16:00,Lorient,Marseille,0.0,8.428571428571429,3.571428571428571,2,5,4,16.714285714285715,2.0,0.0,1.7142857142857142,9.0,2.5714285714285707,3,3,1,13.571428571428573,3.0,3.0,1.4285714285714284,70,70,71,78,78,77,45.0,140.0
72,F1,24/10/2020,20:00,Paris SG,Dijon,2.0,17.857142857142858,6.999999999999999,5,4,2,11.0,2.5714285714285707,0.5714285714285714,2.2857142857142856,8.571428571428571,2.7142857142857144,0,2,5,15.0,2.4285714285714284,0.14285714285714285,0.5714285714285714,86,82,81,72,71,70,600.0,50.0
73,F1,25/10/2020,14:00,Bordeaux,Nimes,2.0,9.571428571428571,3.8571428571428568,2,6,2,13.285714285714285,2.2857142857142856,0.2857142857142857,1.0,11.714285714285715,4.714285714285714,2,2,3,12.428571428571427,1.4285714285714284,0.14285714285714285,1.2857142857142856,73,75,75,71,72,72,50.0,40.0
74,F1,25/10/2020,14:00,Brest,Strasbourg,0.0,13.857142857142858,4.8571428571428585,3,4,4,16.571428571428573,2.0,0.14285714285714285,1.5714285714285712,12.714285714285715,4.428571428571429,1,0,6,12.714285714285715,1.714285714285714,0.0,0.8571428571428571,71,71,72,74,74,74,35.0,50.0
75,F1,25/10/2020,14:00,Metz,St Etienne,2.0,11.0,3.4285714285714284,2,4,3,11.714285714285715,1.714285714285714,0.0,1.0,8.571428571428571,3.8571428571428568,3,1,3,13.571428571428573,1.5714285714285712,2.0,1.2857142857142856,71,72,71,76,72,73,50.0,95.0
76,F1,25/10/2020,14:00,Montpellier,Reims,0.0,12.0,5.285714285714286,3,3,2,14.0,1.8571428571428568,0.42857142857142855,1.8571428571428568,7.571428571428571,2.714285714285714,0,2,5,13.428571428571427,3.1428571428571423,2.2857142857142856,0.857142857142857,77,75,74,71,72,74,54.5,70.0
77,F1,25/10/2020,16:00,Nice,Lille,1.0,10.285714285714283,3.4285714285714284,4,4,2,13.0,2.714285714285714,0.0,1.4285714285714284,12.285714285714285,4.714285714285714,5,2,0,13.142857142857144,1.2857142857142856,0.14285714285714285,1.857142857142857,76,74,74,77,77,75,80.0,147.0
78,F1,25/10/2020,20:00,Lyon,Monaco,2.0,19.857142857142858,6.0,2,6,1,13.0,2.142857142857143,0.14285714285714285,1.4285714285714284,15.714285714285715,4.0,3,2,2,13.428571428571427,2.8571428571428568,1.2857142857142856,1.4285714285714284,78,77,77,80,76,75,285.0,215.0
79,F1,31/10/2020,16:00,Rennes,Brest,2.0,13.375,4.0,4,5,1,13.25,2.5,0.25,2.0,13.875,4.75,3,0,5,15.5,1.875,1.0,1.375,75,77,76,71,71,72,105.0,35.0
80,F1,31/10/2020,20:00,Nantes,Paris SG,0.0,10.142857142857142,3.714285714285714,2,5,3,12.714285714285715,2.1428571428571423,0.42857142857142855,1.2857142857142856,18.125,7.25,6,0,2,11.125,2.25,0.5,2.5,70,74,75,86,82,81,75.0,600.0
81,F1,01/11/2020,12:00,St Etienne,Montpellier,0.0,8.75,3.375,3,4,4,14.125,1.75,0.25,1.125,11.125,4.75,3,2,3,13.125,1.75,2.375,1.625,76,72,73,77,75,74,95.0,54.5
82,F1,01/11/2020,14:00,Angers,Nice,0.0,11.875,3.625,4,5,3,10.75,2.125,0.125,1.25,10.0,3.375,4,2,2,13.0,2.5,0.0,1.375,74,74,73,76,74,74,45.0,80.0
83,F1,01/11/2020,14:00,Dijon,Lorient,1.0,9.5,2.75,0,6,6,15.375,2.375,0.125,0.5,9.0,3.5,2,1,5,15.875,2.125,0.0,1.5,72,71,70,70,70,71,50.0,45.0
84,F1,01/11/2020,14:00,Nimes,Metz,0.0,11.25,4.625,2,5,4,12.875,1.625,0.125,1.125,10.375,3.375,3,2,3,11.625,1.875,0.0,1.125,71,72,72,71,72,71,40.0,50.0
85,F1,01/11/2020,14:00,Reims,Strasbourg,2.0,9.625,3.5,1,5,5,13.125,2.75,0.5,1.25,12.0,4.5,2,0,6,12.5,1.875,0.0,1.125,71,72,74,74,74,74,70.0,50.0
86,F1,01/11/2020,16:00,Monaco,Bordeaux,2.0,16.0,4.125,3,6,3,13.625,3.0,0.375,1.375,10.875,4.125,3,3,2,12.75,2.375,1.125,1.125,80,76,75,73,75,75,215.0,50.0
87,F1,01/11/2020,20:00,Lille,Lyon,1.0,12.25,4.625,5,5,0,13.75,1.875,0.125,1.75,19.25,6.0,3,4,1,12.875,2.25,1.125,1.75,77,77,75,78,77,77,147.0,285.0
88,F1,06/11/2020,20:00,Strasbourg,Marseille,0.0,11.666666666666668,4.333333333333333,2,5,7,12.555555555555555,1.8888888888888888,0.0,1.1111111111111112,9.75,2.625,4,3,1,13.375,3.0,3.0,1.375,74,74,74,78,78,77,50.0,140.0
89,F1,07/11/2020,16:00,Bordeaux,Montpellier,0.0,10.222222222222225,3.6666666666666665,3,7,3,12.666666666666668,2.333333333333334,0.2222222222222222,1.0,11.0,4.4444444444444455,4,2,3,13.555555555555555,1.8888888888888893,2.333333333333333,1.5555555555555558,73,75,75,77,75,74,50.0,54.5
90,F1,07/11/2020,20:00,Paris SG,Rennes,2.0,17.555555555555557,6.8888888888888875,7,5,2,11.333333333333336,2.1111111111111107,0.4444444444444444,2.555555555555556,14.555555555555555,4.4444444444444455,5,3,1,12.0,2.333333333333333,1.1111111111111112,2.0,86,82,81,75,77,76,600.0,105.0
91,F1,08/11/2020,12:00,Brest,Lille,2.0,13.333333333333336,4.666666666666667,3,5,6,15.111111111111107,2.0,0.1111111111111111,1.3333333333333333,12.555555555555555,4.777777777777779,5,4,0,13.777777777777775,2.0,0.1111111111111111,1.6666666666666667,71,71,72,77,77,75,35.0,147.0
92,F1,08/11/2020,14:00,Lens,Reims,1.0,12.857142857142858,4.428571428571429,4,4,2,17.857142857142858,2.8571428571428568,0.42857142857142855,1.4285714285714284,9.888888888888893,3.5555555555555562,2,2,5,13.111111111111116,2.444444444444444,2.2222222222222223,1.3333333333333337,71,73,70,71,72,74,46.0,70.0
93,F1,08/11/2020,14:00,Lorient,Nantes,0.0,9.0,3.2222222222222223,2,6,5,15.555555555555555,2.0,0.0,1.3333333333333333,9.625,3.375,2,2,4,12.75,2.125,1.25,1.125,70,70,71,70,74,75,45.0,75.0
94,F1,08/11/2020,14:00,Metz,Dijon,1.0,10.111111111111107,3.5555555555555562,4,5,3,11.999999999999998,1.8888888888888884,0.1111111111111111,1.111111111111111,9.666666666666664,2.6666666666666665,0,3,6,15.666666666666668,2.333333333333333,0.1111111111111111,0.4444444444444444,71,72,71,72,71,70,50.0,50.0
95,F1,08/11/2020,14:00,Nimes,Angers,0.0,11.777777777777779,4.333333333333333,2,5,5,12.888888888888884,1.7777777777777777,0.1111111111111111,1.0,11.777777777777779,3.7777777777777777,4,1,4,11.555555555555555,2.444444444444444,0.1111111111111111,1.1111111111111112,71,72,72,74,74,73,40.0,45.0
96,F1,08/11/2020,16:00,Nice,Monaco,0.0,10.222222222222225,3.5555555555555562,5,6,2,12.888888888888893,2.4444444444444446,0.0,1.5555555555555556,16.11111111111111,4.333333333333334,4,2,3,13.222222222222221,2.8888888888888893,1.2222222222222223,1.6666666666666667,76,74,74,80,76,75,80.0,215.0
97,F1,08/11/2020,20:00,Lyon,St Etienne,2.0,18.0,5.444444444444443,3,7,1,12.555555555555555,2.333333333333333,0.3333333333333333,1.6666666666666667,8.666666666666668,3.0,3,1,5,14.333333333333332,1.8888888888888888,2.0,1.0,78,77,77,76,72,73,285.0,95.0
